iter=0,err=0.486674
iter=10,err=0.469870
iter=20,err=0.429212
iter=30,err=0.393784
iter=40,err=0.359492
iter=50,err=0.324796
iter=60,err=0.291050
iter=70,err=0.262268
iter=80,err=0.241556
iter=90,err=0.220495
iter=100,err=0.197009
iter=110,err=0.168745
iter=120,err=0.132787
iter=130,err=0.109032
iter=140,err=0.095154
iter=150,err=0.077734
iter=160,err=0.068567
iter=170,err=0.061387
iter=180,err=0.050384
iter=190,err=0.045353
iter=200,err=0.039839
iter=210,err=0.034049
iter=220,err=0.029070
iter=230,err=0.020723
iter=240,err=0.017596
iter=250,err=0.016082
iter=260,err=0.014194
iter=270,err=0.010159
iter=280,err=0.009091
iter=290,err=0.006031
iter=300,err=0.007545
iter=310,err=0.008431
iter=320,err=0.008256
iter=330,err=0.008588
iter=340,err=0.007977
iter=350,err=0.006387
iter=360,err=0.006291
iter=370,err=0.006908
iter=380,err=0.006121
iter=390,err=0.006221
iter=400,err=0.008357
iter=410,err=0.008530
iter=420,err=0.006535
iter=430,err=0.004963
iter=440,err=0.005564
iter=450,err=0.005701
iter=460,err=0.008208
iter=470,err=0.006347
iter=480,err=0.005496
iter=490,err=0.005638
iter=500,err=0.006129
iter=510,err=0.006854
iter=520,err=0.008153
iter=530,err=0.007293
iter=540,err=0.005528
iter=550,err=0.003808
iter=560,err=0.004462
iter=570,err=0.004491
iter=580,err=0.003883
iter=590,err=0.004460
iter=600,err=0.003020
iter=610,err=0.003464
iter=620,err=0.004358
iter=630,err=0.004276
iter=640,err=0.004302
iter=650,err=0.004781
iter=660,err=0.004045
iter=670,err=0.004098
iter=680,err=0.005180
iter=690,err=0.004153
iter=700,err=0.004577
iter=710,err=0.003937
iter=720,err=0.003195
iter=730,err=0.003048
iter=740,err=0.002860
iter=750,err=0.002724
iter=760,err=0.002478
iter=770,err=0.002500
iter=780,err=0.002666
iter=790,err=0.002833
iter=800,err=0.003265
iter=810,err=0.002898
iter=820,err=0.002667
iter=830,err=0.002281
iter=840,err=0.002543
iter=850,err=0.001895
iter=860,err=0.001589
iter=870,err=0.001793
iter=880,err=0.001790
iter=890,err=0.001807
iter=900,err=0.001209
iter=910,err=0.001249
iter=920,err=0.001219
iter=930,err=0.001626
iter=940,err=0.001957
iter=950,err=0.001857
iter=960,err=0.002206
iter=970,err=0.002638
iter=980,err=0.002331
iter=990,err=0.002608
iter=1000,err=0.002537
